"year","length_cm","proportion","ridge_height"
2001,17,0.1270515,0.992800038133074
2001,18,0.1163151,0.908904150800677
2001,19,0.03811546,0.297840089581466
2001,20,0.02478657,0.19368608510083
2001,21,0.04211086,0.329060762083222
2001,22,0.086477,0.675744630308448
2001,23,0.1246049,0.973681927970688
2001,24,0.1279729,1
2001,25,0.09758648,0.762555822365516
2001,26,0.06889328,0.538342727249285
2001,27,0.05740892,0.448602164989619
2001,28,0.0320483,0.250430364553745
2001,29,0.01067387,0.0834072682575764
2001,30,0.000798988,0.00624341559814617
2001,31,0.002310948,0.0180581044893098
2001,32,0.0005699172,0.00445342099772686
2001,33,0,0
2001,34,0,0
2001,35,0,0
2001,36,0,0
2001,37,0,0
2001,38,0,0
2001,39,0,0
2001,40,0,0
2001,41,0,0
2001,42,0,0
2001,43,0,0
2001,44,0,0
2001,45,0,0
2001,46,0,0
2001,47,0,0
2001,48,0,0
2001,49,0,0
2001,50,0,0
2002,10,0,0
2002,11,0.007723425,0.0451834030479422
2002,12,0.05607283,0.328035978588352
2002,13,0.1656083,0.968837862345336
2002,14,0.1137844,0.665658876181004
2002,15,0.04040846,0.23639664199842
2002,16,0.004228346,0.0247365723813145
2002,17,0.002147638,0.0125640623628865
2002,18,0.001758858,0.0102896305613245
2002,19,0,0
2002,20,0,0
2002,21,0,0
2002,22,0,0
2002,23,0,0
2002,24,0,0
2002,25,0,0
2002,26,0,0
2002,27,0.006067913,0.0354983648755375
2002,28,0.01793307,0.104911633076901
2002,29,0.09899705,0.579150261795419
2002,30,0.170935,1
2002,31,0.1646722,0.963361511685728
2002,32,0.1056004,0.617781027876093
2002,33,0.03557283,0.20810735074736
2002,34,0.006442913,0.0376921812384825
2002,35,0.00204626,0.0119709831222394
2002,36,0,0
2002,37,0,0
2002,38,0,0
2002,39,0,0
2002,40,0,0
2002,41,0,0
2002,42,0,0
2002,43,0,0
2002,44,0,0
2002,45,0,0
2002,46,0,0
2002,47,0,0
2002,48,0,0
2002,49,0,0
2002,50,0,0
2003,10,0,0
2003,11,0.006048561,0.0252604576028679
2003,12,0.1078579,0.450444313959034
2003,13,0.2394478,1
2003,14,0.1958327,0.817851322918816
2003,15,0.06293345,0.262827430446218
2003,16,0.03929317,0.164099106360551
2003,17,0.02584532,0.107937178792204
