row_id	cm	value	cum_value	total	cum_prop
Row 04	68	0	79913.637352406	79913.637352406	1
Row 04	69	0	79913.637352406	79913.637352406	1
Row 04	70	0	79913.637352406	79913.637352406	1
Row 04	71	0	79913.637352406	79913.637352406	1
Row 04	72	0	79913.637352406	79913.637352406	1
Row 04	73	0	79913.637352406	79913.637352406	1
Row 04	74	0	79913.637352406	79913.637352406	1
Row 04	75	0	79913.637352406	79913.637352406	1
Row 04	76	0	79913.637352406	79913.637352406	1
Row 04	77	0	79913.637352406	79913.637352406	1
Row 04	78	0	79913.637352406	79913.637352406	1
Row 04	79	0	79913.637352406	79913.637352406	1
Row 04	80	0	79913.637352406	79913.637352406	1
Row 04	81	0	79913.637352406	79913.637352406	1
Row 04	82	0	79913.637352406	79913.637352406	1
Row 04	83	0	79913.637352406	79913.637352406	1
Row 04	84	0	79913.637352406	79913.637352406	1
Row 04	85	0	79913.637352406	79913.637352406	1
Row 04	86	0	79913.637352406	79913.637352406	1
Row 04	87	0	79913.637352406	79913.637352406	1
Row 04	88	0	79913.637352406	79913.637352406	1
Row 04	89	0	79913.637352406	79913.637352406	1
Row 04	90	0	79913.637352406	79913.637352406	1
Row 05	5	0	0	101808.54461497	0
Row 05	6	0	0	101808.54461497	0
Row 05	7	0	0	101808.54461497	0
Row 05	8	8.97830494	8.97830494	101808.54461497	8.81881277642763e-05
Row 05	9	22.25058181	31.22888675	101808.54461497	0.000306741313984053
Row 05	10	0	31.22888675	101808.54461497	0.000306741313984053
Row 05	11	0	31.22888675	101808.54461497	0.000306741313984053
Row 05	12	0	31.22888675	101808.54461497	0.000306741313984053
Row 05	13	0	31.22888675	101808.54461497	0.000306741313984053
Row 05	14	0	31.22888675	101808.54461497	0.000306741313984053
Row 05	15	0	31.22888675	101808.54461497	0.000306741313984053
Row 05	16	33.34112612	64.57001287	101808.54461497	0.000634229799809019
Row 05	17	53.08202153	117.6520344	101808.54461497	0.00115562043289145
Row 05	18	166.4010704	284.0531048	101808.54461497	0.00279007136261756
Row 05	19	91.83772643	375.89083123	101808.54461497	0.00369213441417499
Row 05	20	172.7463107	548.63714193	101808.54461497	0.00538891056742725
Row 05	21	174.7303059	723.36744783	101808.54461497	0.00710517423233684
Row 05	22	109.1435135	832.51096133	101808.54461497	0.0081772209246137
Row 05	23	88.788491	921.29945233	101808.54461497	0.00904933329333275
Row 05	24	196.6589327	1117.95838503	101808.54461497	0.0109809877870076
Row 05	25	349.6816475	1467.64003253	101808.54461497	0.0144156862086623
Row 05	26	641.0224069	2108.66243943	101808.54461497	0.0207120379473526
Row 05	27	1441.724927	3550.38736643	101808.54461497	0.034873176704934
Row 05	28	2613.749809	6164.13717543	101808.54461497	0.0605463637530835
Row 05	29	3208.185965	9372.32314043	101808.54461497	0.0920583156931986
Row 05	30	3359.210512	12731.53365243	101808.54461497	0.125053684841282
Row 05	31	4430.349974	17161.88362643	101808.54461497	0.168570169540627
Row 05	32	7622.093243	24783.97686943	101808.54461497	0.243437100129077
